--- Driving Event Log Started ---
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.6s | Eco Score: 100.00 | Safety Score: 100.00
